notas_movimentacao.nf;notas_movimentacao.data_agenda_envio;notas_movimentacao.motorista;notas_movimentacao.placa_carro;notas_movimentacao.cod_rastreio;notas_movimentacao.status;notas_movimentacao.rota_envio;notas_movimentacao.entrega_realizada;notas_movimentacao.feita_em;notas_movimentacao.entregue_em;notas_movimentacao.updated_on;notas_movimentacao.updated_by
181338;27/03/2020;MOTOBOY2 OT (634);;;ENTREGA REALIZADA;ZONA NORTE;<NULL>;27/03/2020 13:42;27/03/2020 10:32;30/03/2020 10:32;KLEVERSON SILVA (698)
181337;27/03/2020;MOTOBOY2 OT (634);;;ENTREGA REALIZADA;CENTRO;<NULL>;27/03/2020 13:41;27/03/2020 10:32;30/03/2020 10:32;KLEVERSON SILVA (698)
181333;27/03/2020;N��O H�� MOTORIS;;;ENTREGA REALIZADA;<NULL>;<NULL>;27/03/2020 10:13;27/03/2020 10:13;27/03/2020 10:13;KLEVERSON SILVA (698)
181331;27/03/2020;MOTOBOY1 OT (633);;;ENTREGA REALIZADA;BAIXADA;<NULL>;27/03/2020 09:13;27/03/2020 13:16;30/03/2020 13:16;KLEVERSON SILVA (698)
181330;27/03/2020;MOTORISTA RAUL (690);;;ENTREGA REALIZADA;CENTRO;<NULL>;27/03/2020 08:34;27/03/2020 13:32;30/03/2020 13:32;KLEVERSON SILVA (698)
181328;27/03/2020;MOTOBOY3 OT (635);;;ENTREGA REALIZADA;BARRA;<NULL>;27/03/2020 09:10;27/03/2020 13:50;30/03/2020 13:50;KLEVERSON SILVA (698)
181326;27/03/2020;MOTOBOY2 OT (634);;;ENTREGA REALIZADA;ZONA SUL;<NULL>;27/03/2020 09:43;27/03/2020 10:33;30/03/2020 10:33;KLEVERSON SILVA (698)
181325;27/03/2020;MOTOBOY1 OT (633);;;ENTREGA REALIZADA;ZONA OESTE;<NULL>;27/03/2020 09:13;27/03/2020 13:16;30/03/2020 13:16;KLEVERSON SILVA (698)
181322;27/03/2020;MOTORISTA RAUL (690);;;ENTREGA REALIZADA;CENTRO;<NULL>;27/03/2020 08:34;27/03/2020 13:32;30/03/2020 13:33;KLEVERSON SILVA (698)
181320;27/03/2020;MOTOBOY2 OT (634);;;ENTREGA REALIZADA;ZONA SUL;<NULL>;26/03/2020 14:20;27/03/2020 10:34;30/03/2020 10:34;KLEVERSON SILVA (698)
181080;19/03/2020;METAR LOGISTICA (642);;;ENTREGA REALIZADA;<NULL>;<NULL>;19/03/2020 17:19;27/03/2020 21:00;27/03/2020 21:00;KLEVERSON SILVA (698)
